dataset,latent_dim,k,num_nodes,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,reconstruction_f1,bits_per_edge,latent_density
citeseer,4,2,3327,3703,4552,4520,0.001080205238995409,0.9929701230228472,0.819515707984517,1.1372340492281192,0.0008167005144059658
citeseer,4,3,3327,3703,4552,6609,0.001080205238995409,1.45188927943761,0.8286910613508102,1.1365490135008263,0.0011941534467041492
citeseer,4,5,3327,3703,4552,10845,0.001080205238995409,2.382469244288225,0.8278621442211512,1.135664145293906,0.0019595392514020205
citeseer,4,10,3327,3703,4552,21369,0.001080205238995409,4.694420035149385,0.8253853127833182,1.1341141482521904,0.003861078293994069
citeseer,4,20,3327,3703,4552,43147,0.001080205238995409,9.478690685413005,0.8287664997724169,1.1332300406786182,0.007796057034283876
citeseer,8,2,3327,3703,4552,4543,0.002160410477990818,0.9980228471001757,0.8167952628745738,1.1082354320676897,0.0008208563085645437
citeseer,8,3,3327,3703,4552,6816,0.002160410477990818,1.4973637961335677,0.8173085555256306,1.1085240917369203,0.0012315554777160287
citeseer,8,5,3327,3703,4552,11299,0.002160410477990818,2.4822056239015815,0.8170151664722247,1.1079643899095746,0.002041570609435439
citeseer,8,10,3327,3703,4552,22636,0.002160410477990818,4.972759226713532,0.8165022421524664,1.1073850715373459,0.004090007394552231
citeseer,8,20,3327,3703,4552,44384,0.002160410477990818,9.750439367311072,0.8167952628745738,1.1076040580370652,0.008019565604627132
citeseer,16,2,3327,3703,4552,4541,0.004320820955981636,0.9975834797891037,0.8189996401583304,1.0813776342991643,0.0008204949554055929
citeseer,16,3,3327,3703,4552,6859,0.004320820955981636,1.506810193321617,0.8190733243364823,1.081388504920114,0.0012393250362947583
citeseer,16,5,3327,3703,4552,11460,0.004320820955981636,2.5175746924428823,0.8161362617660242,1.0820601597594257,0.0020706611685454845
citeseer,16,10,3327,3703,4552,22970,0.004320820955981636,5.046133567662566,0.8172351885098743,1.0820023067161821,0.0041503566317260265
citeseer,16,20,3327,3703,4552,44974,0.004320820955981636,9.880052724077329,0.8183370786516854,1.0826662748611438,0.008126170374453068
citeseer,32,2,3327,3703,4552,4526,0.008641641911963273,0.9942882249560633,0.8160631050555754,1.0629234312204134,0.0008177846320904791
citeseer,32,3,3327,3703,4552,6852,0.008641641911963273,1.5052724077328647,0.8169418521177315,1.064448200422517,0.0012380601838231087
citeseer,32,5,3327,3703,4552,11564,0.008641641911963273,2.540421792618629,0.8173085555256306,1.0648387536523132,0.002089452464133501
citeseer,32,10,3327,3703,4552,23320,0.008641641911963273,5.1230228471001755,0.8211418778749887,1.0659060909482774,0.004213596694171429
citeseer,32,20,3327,3703,4552,45897,0.008641641911963273,10.082820738137082,0.8213641284734753,1.067182779427119,0.008292943239212036
citeseer,64,2,3327,3703,4552,4533,0.017283283823926545,0.9958260105448155,0.813728995352163,1.0536039872099612,0.0008190494263544679
citeseer,64,3,3327,3703,4552,6813,0.017283283823926545,1.4967047451669595,0.8161362617660242,1.0549740668017504,0.0012310134479776025
citeseer,64,5,3327,3703,4552,11598,0.017283283823926545,2.547891036906854,0.8160631050555754,1.0577925724346187,0.0020955957006663084
citeseer,64,10,3327,3703,4552,23393,0.017283283823926545,5.139059753954306,0.8173819357155683,1.0593919431060508,0.00422678655013442
citeseer,64,20,3327,3703,4552,46080,0.017283283823926545,10.123022847100176,0.8195894850558156,1.0614644997256697,0.008326008915901184
citeseer,128,2,3327,3703,4552,4504,0.03456656764785309,0.9894551845342706,0.8134381701215153,1.0464304388313028,0.0008138095727190375
citeseer,128,3,3327,3703,4552,6880,0.03456656764785309,1.5114235500878734,0.8140200286123033,1.0495555143436435,0.0012431193608790636
citeseer,128,5,3327,3703,4552,11632,0.03456656764785309,2.555360281195079,0.8129297258683811,1.0520420518375577,0.0021017391700297594
citeseer,128,10,3327,3703,4552,23414,0.03456656764785309,5.143673110720562,0.8154783231816554,1.055612114002283,0.004230581223964691
citeseer,128,20,3327,3703,4552,45937,0.03456656764785309,10.091608084358525,0.8151862464183381,1.0591757571025668,0.008300171233713627
