dataset,latent_dim,k,num_nodes,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,reconstruction_f1,bits_per_edge,latent_density
cora,4,1,2708,1433,5278,1943,0.0027913468248429866,0.36813186813186816,0.8151124159777486,1.0878074903284347,0.0005299141048453748
cora,4,2,2708,1433,5278,3715,0.0027913468248429866,0.7038651004168246,0.8190712843609256,1.0837544906876682,0.0010131914168596268
cora,4,3,2708,1433,5278,5417,0.0027913468248429866,1.0263357332322849,0.8207561848451844,1.0851940196701428,0.001477377605624497
cora,4,5,2708,1433,5278,8864,0.0027913468248429866,1.6794240242516105,0.8175476670283677,1.084803302854812,0.002417477313429117
cora,4,10,2708,1433,5278,17490,0.0027913468248429866,3.3137552103069345,0.8162886119067895,1.0853816817439432,0.004770045168697834
cora,4,20,2708,1433,5278,35106,0.0027913468248429866,6.651383099658962,0.8149636729015304,1.0851842639469707,0.00957445427775383
cora,8,1,2708,1433,5278,1990,0.005582693649685973,0.37703675634710115,0.8248808314448699,1.0766082536463175,0.0005427324213087559
cora,8,2,2708,1433,5278,3881,0.005582693649685973,0.7353164077302008,0.82446683852824,1.075165214261024,0.001058464520610869
cora,8,3,2708,1433,5278,5791,0.005582693649685973,1.0971959075407351,0.8234376219084029,1.0763416007016535,0.0015793786151334643
cora,8,5,2708,1433,5278,9492,0.005582693649685973,1.7984084880636604,0.8238875878220141,1.0751650332640985,0.0025887517258524895
cora,8,10,2708,1433,5278,19024,0.005582693649685973,3.6043956043956045,0.8242736644798501,1.0766627497680292,0.005188412498682737
cora,8,20,2708,1433,5278,37843,0.005582693649685973,7.169950738916256,0.825046904315197,1.0784931744166595,0.010320915840566158
cora,16,1,2708,1433,5278,1961,0.011165387299371946,0.3715422508525957,0.8224386443319049,1.0910190672855717,0.0005348232225514948
cora,16,2,2708,1433,5278,3863,0.011165387299371946,0.7319060250094733,0.8239793927093904,1.094116578814666,0.001053555402904749
cora,16,3,2708,1433,5278,5728,0.011165387299371946,1.0852595680181887,0.8251387477526773,1.091488552978798,0.0015621966449543834
cora,16,5,2708,1433,5278,9587,0.011165387299371946,1.8164077302008337,0.8241449320630955,1.0937728547143981,0.002614661119878292
cora,16,10,2708,1433,5278,19434,0.011165387299371946,3.6820765441455094,0.826570578098073,1.0928100665449743,0.005300231743603945
cora,16,20,2708,1433,5278,38891,0.011165387299371946,7.368510799545282,0.8280354760222902,1.094050987650292,0.0106067368760705
cora,32,1,2708,1433,5278,1937,0.022330774598743892,0.3669950738916256,0.813347718865598,1.1460674662531534,0.0005282777128741145
cora,32,2,2708,1433,5278,3844,0.022330774598743892,0.7283061765820387,0.8135985198889917,1.151763856548632,0.0010483735240995884
cora,32,3,2708,1433,5278,5729,0.022330774598743892,1.0854490337248959,0.8162412993039443,1.1516794783721478,0.001562469289638102
cora,32,5,2708,1433,5278,9673,0.022330774598743892,1.8327017809776431,0.8181113350907118,1.1462213876334755,0.002638115780428052
cora,32,10,2708,1433,5278,19729,0.022330774598743892,3.7379689276241,0.8187107284151733,1.1454677868933165,0.005380687303841114
cora,32,20,2708,1433,5278,39540,0.022330774598743892,7.491474043198181,0.820429104477612,1.14556199071503,0.01078373845666647
cora,64,1,2708,1433,5278,1943,0.044661549197487785,0.36813186813186816,0.8150092649783817,1.2239137269214753,0.0005299141048453748
cora,64,2,2708,1433,5278,3818,0.044661549197487785,0.7233800682076544,0.8166486151941823,1.2241313488834398,0.001041282550431788
cora,64,3,2708,1433,5278,5656,0.044661549197487785,1.0716180371352786,0.8162066032629707,1.2229073763391862,0.0015425600577145815
cora,64,5,2708,1433,5278,9581,0.044661549197487785,1.8152709359605912,0.8177874186550976,1.2235433873464263,0.0026130247861146927
cora,64,10,2708,1433,5278,19676,0.044661549197487785,3.7279272451686243,0.8173441734417344,1.2215027150680233,0.0053662327118217945
cora,64,20,2708,1433,5278,39821,0.044661549197487785,7.544713906782873,0.8178507786472456,1.2126050097335246,0.010860375128686428
cora,128,1,2708,1433,5278,1944,0.08932309839497557,0.36832133383857524,0.8197358197358198,1.4123317161466795,0.0005301868077367544
cora,128,2,2708,1433,5278,3797,0.08932309839497557,0.7194012883668056,0.8228963581065273,1.411477841271184,0.0010355552658438683
cora,128,3,2708,1433,5278,5674,0.08932309839497557,1.075028419856006,0.8245682581855123,1.4023123533810935,0.0015474691754207015
cora,128,5,2708,1433,5278,9595,0.08932309839497557,1.8179234558544903,0.8248534583821805,1.4041361274924913,0.0026168429758399725
cora,128,10,2708,1433,5278,19556,0.08932309839497557,3.705191360363774,0.8241080490280271,1.3918344949845678,0.005333505105227232
cora,128,20,2708,1433,5278,39533,0.08932309839497557,7.490147783251231,0.823465168889929,1.3809144199574694,0.010781829245388508
