dataset,latent_dim,k,num_nodes,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,reconstruction_f1,bits_per_edge,latent_density
cora,4,2,2708,1433,5278,3723,0.0027913468248429866,0.7053808260704812,0.8159665815734509,1.140400220473076,0.0010153732728213072
cora,4,3,2708,1433,5278,5443,0.0027913468248429866,1.0312618416066692,0.813831429453535,1.1376716687078505,0.0014844686957076192
cora,4,5,2708,1433,5278,8861,0.0027913468248429866,1.6788556271314892,0.8131172839506173,1.134169319205665,0.002416659379377961
cora,4,10,2708,1433,5278,17412,0.0027913468248429866,3.2989768851837815,0.8124566407153319,1.1345278735470876,0.0047487723641097546
cora,4,20,2708,1433,5278,34841,0.0027913468248429866,6.601174687381584,0.8156346749226007,1.1345746201308522,0.009502180851995945
cora,8,2,2708,1433,5278,3844,0.005582693649685973,0.7283061765820387,0.8243011088552241,1.1137310063945574,0.0010483736405149102
cora,8,3,2708,1433,5278,5715,0.005582693649685973,1.0827965138309965,0.8227315247895229,1.1168148280287327,0.001558651216328144
cora,8,5,2708,1433,5278,9458,0.005582693649685973,1.7919666540356196,0.8196644920782852,1.119537038897709,0.0025794790126383305
cora,8,10,2708,1433,5278,18636,0.005582693649685973,3.530882910193255,0.8241818323830352,1.116344592789302,0.0050825937651097775
cora,8,20,2708,1433,5278,36772,0.005582693649685973,6.967032967032967,0.8213868783562923,1.1244815517516018,0.010028822347521782
cora,16,2,2708,1433,5278,3772,0.011165387299371946,0.7146646456991285,0.8158688423169128,1.0951680030945534,0.0010287370532751083
cora,16,3,2708,1433,5278,5669,0.011165387299371946,1.0740810913224705,0.8177943114004496,1.100954605322462,0.0015461056027561426
cora,16,5,2708,1433,5278,9478,0.011165387299371946,1.7957559681697612,0.8181113350907118,1.1078281225122786,0.0025849335361272097
cora,16,10,2708,1433,5278,18993,0.011165387299371946,3.5985221674876846,0.818717988514667,1.107442546413077,0.005179958418011665
cora,16,20,2708,1433,5278,37501,0.011165387299371946,7.105153467222433,0.8258317025440313,1.1083447669206121,0.010227642953395844
cora,32,2,2708,1433,5278,3769,0.022330774598743892,0.7140962485790072,0.8070658407891719,1.0939155063438553,0.0010279188863933086
cora,32,3,2708,1433,5278,5647,0.022330774598743892,1.0699128457749147,0.8113468634686347,1.0912951572495693,0.0015401055570691824
cora,32,5,2708,1433,5278,9470,0.022330774598743892,1.7942402425161046,0.8092937658155049,1.1081066516385019,0.002582751912996173
cora,32,10,2708,1433,5278,19201,0.022330774598743892,3.6379310344827585,0.8148548486720197,1.1093390289092304,0.005236686207354069
cora,32,20,2708,1433,5278,37808,0.022330774598743892,7.1633194391815085,0.8209396390790292,1.1024318632295398,0.010311370715498924
cora,64,2,2708,1433,5278,3724,0.044661549197487785,0.7055702917771883,0.8034708479220581,1.0959967745044434,0.0010156460339203477
cora,64,3,2708,1433,5278,5573,0.044661549197487785,1.0558923834785903,0.8054326262780406,1.0981925061984696,0.0015199235640466213
cora,64,5,2708,1433,5278,9377,0.044661549197487785,1.7766199317923457,0.8020667122559076,1.1122711493734696,0.0025573880411684513
cora,64,10,2708,1433,5278,19053,0.044661549197487785,3.60989010989011,0.8123749422810528,1.1051249016605451,0.005196322221308947
cora,64,20,2708,1433,5278,38097,0.044661549197487785,7.218075028419856,0.8141292611445319,1.115184071120414,0.010390189476311207
cora,128,2,2708,1433,5278,3667,0.08932309839497557,0.6947707464948845,0.7956275914059555,1.1082952461191584,0.0010001003975048661
cora,128,3,2708,1433,5278,5516,0.08932309839497557,1.0450928381962865,0.7929972199263656,1.124466446418489,0.0015043779276311398
cora,128,5,2708,1433,5278,9343,0.08932309839497557,1.7701780977643047,0.7921639270434587,1.1347650962133915,0.0025481150951236486
cora,128,10,2708,1433,5278,19191,0.08932309839497557,3.636036377415688,0.7982150960520344,1.1379075154834182,0.005233958829194307
cora,128,20,2708,1433,5278,38447,0.08932309839497557,7.284388025767336,0.8053117606654965,1.1437578332056595,0.01048564538359642
