dataset,latent_dim,k,num_nodes,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,reconstruction_f1,bits_per_edge,latent_density
pubmed,4,1,19717,500,44324,19705,0.008,0.4445672773215414,0.7083138851029667,1.0000016892316617,0.00010137356730410829
pubmed,4,2,19717,500,44324,39399,0.008,0.8888863820954788,0.700754130665454,1.0000018748042816,0.0002026905567618087
pubmed,4,3,19717,500,44324,59079,0.008,1.3328896308997382,0.7043782505910166,1.0000023418611892,0.00030393549241125584
pubmed,4,5,19717,500,44324,98426,0.008,2.220602833679271,0.7216867247829853,1.000004315415635,0.000506358512211591
pubmed,4,10,19717,500,44324,196650,0.008,4.436648316938904,0.7358476985640767,1.0000080206484763,0.0010116779012605548
pubmed,4,20,19717,500,44324,392676,0.008,8.859218482086455,0.74206719863361,1.000011577808286,0.00202014553360641
pubmed,8,1,19717,500,44324,19674,0.016,0.4438678819601119,0.7574060266598774,1.0000016998143733,0.000101214085589163
pubmed,8,2,19717,500,44324,39345,0.016,0.8876680804981499,0.7301619582901938,1.0000033819211278,0.00020241274614818394
pubmed,8,3,19717,500,44324,59011,0.016,1.3313554733327317,0.7314090426268878,1.0000046136887537,0.0003035856643691659
pubmed,8,5,19717,500,44324,98320,0.016,2.2182113527659957,0.7380460147467237,1.0000137205875956,0.0005058132228441536
pubmed,8,10,19717,500,44324,196469,0.016,4.432564750473784,0.7424335052567227,1.0000263196073904,0.0010107466951012611
pubmed,8,20,19717,500,44324,392183,0.016,8.848095839725657,0.7332131628589394,1.0000466375947725,0.0020176093094050884
pubmed,16,1,19717,500,44324,19528,0.032,0.440573955419186,0.7603980653092723,1.0000038366517152,0.00010046298120869324
pubmed,16,2,19717,500,44324,39107,0.032,0.8822985290136269,0.7605428383401811,1.0000073290369087,0.00020118833344895393
pubmed,16,3,19717,500,44324,58613,0.032,1.322376139337605,0.7587152369761065,1.0000094643787512,0.00030153815168887377
pubmed,16,5,19717,500,44324,97567,0.032,2.201222813825467,0.7508948953216737,1.0000157124360247,0.0005019393865950406
pubmed,16,10,19717,500,44324,195021,0.032,4.39989621875282,0.7450794242799261,1.000046453454233,0.0010032973950728774
pubmed,16,20,19717,500,44324,388617,0.032,8.767642812020576,0.7457403762491658,1.0000576160552683,0.001999263884499669
pubmed,32,1,19717,500,44324,19221,0.064,0.43364768522696506,0.7492314372557534,1.000016430803891,9.888360364129767e-05
pubmed,32,2,19717,500,44324,38559,0.064,0.8699350239148091,0.752052080384942,1.000019275667434,0.00019836911815218627
pubmed,32,3,19717,500,44324,57907,0.064,1.306447974009566,0.7509076544787977,1.0000246618670536,0.00029790608095936477
pubmed,32,5,19717,500,44324,96633,0.064,2.1801507084198177,0.7498786828422876,1.0000497390948382,0.0004971343441866338
pubmed,32,10,19717,500,44324,193378,0.064,4.362828264597058,0.7385654319539517,1.0001129428742705,0.0009948448278009892
pubmed,32,20,19717,500,44324,386138,0.064,8.711713744246909,0.7149056999499863,1.0002118088886296,0.0019865103531628847
pubmed,64,1,19717,500,44324,18963,0.128,0.4278269109286166,0.754472310941236,1.0000274644358051,9.75563089014031e-05
pubmed,64,2,19717,500,44324,38034,0.128,0.8580904250518906,0.7485800057993757,1.0000596468905456,0.00019566822447814047
pubmed,64,3,19717,500,44324,57356,0.128,1.2940167854886744,0.7340414921204867,1.0001124754203572,0.0002950714260805398
pubmed,64,5,19717,500,44324,96155,0.128,2.169366483169389,0.7104847313242478,1.0002414278156895,0.0004946752451360226
pubmed,64,10,19717,500,44324,193278,0.128,4.360572150527931,0.6890547263681592,1.0004936393955617,0.000994330388493836
pubmed,64,20,19717,500,44324,385312,0.128,8.693078242035917,0.6890863437424691,1.0006100420185722,0.001982260961085558
pubmed,128,1,19717,500,44324,18713,0.256,0.42218662575579824,0.7389012891563197,1.000070117612329,9.627016697777435e-05
pubmed,128,2,19717,500,44324,37535,0.256,0.8468324158469452,0.7337750326286651,1.0001338730561287,0.00019310109200887382
pubmed,128,3,19717,500,44324,56624,0.256,1.2775020305026623,0.7171758074443617,1.0002417538985795,0.00029130562325008214
pubmed,128,5,19717,500,44324,95482,0.256,2.154182835484162,0.6912621359223301,1.000563178504365,0.0004912129370495677
pubmed,128,10,19717,500,44324,193198,0.256,4.3587672592726285,0.6753207179205899,1.0011525995697534,0.0009939188603311777
pubmed,128,20,19717,500,44324,386713,0.256,8.72468640014439,0.673085099921035,1.0015761331241324,0.001989468466490507
