dataset,latent_dim,k,num_nodes,num_features,num_input_edges,num_latent_edges,dim_compression_ratio,edge_compression_ratio,reconstruction_f1,bits_per_edge,latent_density
pubmed,4,2,19717,500,44324,39431,0.008,0.8896083385975995,0.6666666666666666,1.4514968378943434,0.0002028551825787872
pubmed,4,3,19717,500,44324,59145,0.008,1.3343786661853623,0.6666666666666666,1.5123059721925616,0.00030427504680119455
pubmed,4,5,19717,500,44324,98570,0.008,2.223851637938814,0.6666666666666666,1.5720046130320333,0.0005070993793196976
pubmed,4,10,19717,500,44324,197115,0.008,4.447139247360346,0.6666666666666666,1.6443156905396348,0.0010140701197087765
pubmed,4,20,19717,500,44324,394130,0.008,8.892022380651566,0.6666666666666666,1.6864664496998143,0.002027625683695078
pubmed,8,2,19717,500,44324,39431,0.016,0.8896083385975995,0.6666666666666666,2.5360775265527655,0.0002028551825787872
pubmed,8,3,19717,500,44324,59145,0.016,1.3343786661853623,0.6666666666666666,2.3812473459879366,0.00030427504680119455
pubmed,8,5,19717,500,44324,98570,0.016,2.223851637938814,0.6666666666666666,2.3528301744019755,0.0005070993793196976
pubmed,8,10,19717,500,44324,197114,0.016,4.447116686219656,0.6666666666666666,2.20467040601534,0.001014064997434616
pubmed,8,20,19717,500,44324,394111,0.016,8.89159371897843,0.6668271581719014,2.046486815191757,0.0020275278948247433
pubmed,16,2,19717,500,44324,39430,0.032,0.8895857774569083,0.6667719686200179,2.481577104853039,0.00020285003120079637
pubmed,16,3,19717,500,44324,59144,0.032,1.334356105044671,0.6667418789533458,2.210082372795751,0.0003042698954232037
pubmed,16,5,19717,500,44324,98560,0.032,2.2236260265319014,0.6850589635399762,1.7046334641232792,0.0005070479237474501
pubmed,16,10,19717,500,44324,197059,0.032,4.445875823481635,0.7599694341768553,1.472131740150775,0.0010137819917872548
pubmed,16,20,19717,500,44324,393915,0.032,8.887171735402942,0.7580153558755441,1.5514931943219927,0.002026519738137722
pubmed,32,2,19717,500,44324,39429,0.064,0.8895632163162169,0.6947280977421807,1.9566660512545795,0.00020284487982280552
pubmed,32,3,19717,500,44324,59139,0.064,1.3342432993412148,0.7566220006232471,2.2914066432474,0.00030424416763707995
pubmed,32,5,19717,500,44324,98555,0.064,2.223513220828445,0.7586120841020705,2.2557461575686357,0.0005070221959613264
pubmed,32,10,19717,500,44324,197059,0.064,4.445875823481635,0.7606520537195242,2.028872414499961,0.0010137819917872548
pubmed,32,20,19717,500,44324,393906,0.064,8.88696868513672,0.7623877085412805,1.864056304354056,0.002026473404839635
pubmed,64,2,19717,500,44324,39425,0.128,0.8894729717534519,0.7688779863481229,1.894385619721502,0.0002028243034146726
pubmed,64,3,19717,500,44324,59134,0.128,1.3341304936377583,0.7681045984167927,1.6880844907287136,0.00030421846895478666
pubmed,64,5,19717,500,44324,98555,0.128,2.223513220828445,0.7640336736521584,1.896209680580191,0.0005070221959613264
pubmed,64,10,19717,500,44324,197054,0.128,4.445763017778179,0.7656759176365264,1.7858089063849534,0.001013756264001131
pubmed,64,20,19717,500,44324,393879,0.128,8.886359534338055,0.7684338599724454,1.600983562065968,0.0020263344049453735
pubmed,128,2,19717,500,44324,39428,0.256,0.8895406551755257,0.7571456731716932,2.5336707045991504,0.0002028397429967299
pubmed,128,3,19717,500,44324,59139,0.256,1.3342432993412148,0.7628559739589819,2.4913853806537736,0.00030424416763707995
pubmed,128,5,19717,500,44324,98555,0.256,2.223513220828445,0.7637308484902786,2.257532313949693,0.0005070221959613264
pubmed,128,10,19717,500,44324,197058,0.256,4.445853262340944,0.7655949042760005,2.036809218200348,0.0010137768695130944
pubmed,128,20,19717,500,44324,393879,0.256,8.886359534338055,0.7675060026956343,1.965817588057052,0.0020263344049453735
