k,beta,prior,avg_reconstruction_f1,avg_bits_per_edge,avg_latent_density,avg_num_latent_edges,avg_edge_compression_ratio,frac_jets_complete_a_z,min_num_latent_edges,max_num_latent_edges,loss_share_recon,loss_share_kl,loss_share_entropy,loss_share_link,raw_kl_per_node,posterior_sigma_mean,logreg_accuracy_mean,logreg_accuracy_std,logreg_auc_mean,mlp_accuracy_mean,mlp_accuracy_std,mlp_auc_mean,train_time_s
3,0.01,isotropic,0.7504016102048126,0.9326186011530777,0.75,6.0,0.030182484582719656,1.0,6.0,6.0,0.174747054674905,0.014866094746757997,0.013274283113626082,0.7971125674647108,7.053347463226318,0.2966228728413582,0.69424,0.004592864030210351,0.7542419824699398,0.7076799999999999,0.0043111019472984085,0.7716654581976474,965.1766617298126
2,1.0,graph_mrf,0.7277379938715383,0.986863640404533,0.6249,4.9992,0.025144927628456857,0.0,4.0,5.0,0.09429117874318617,0.5303047558048224,0.006382551699424147,0.3690215137525673,5.8649949314117436,0.6256459928035736,0.68704,0.004122911592552032,0.7455666267829189,0.70672,0.003634501341312171,0.7671858386219866,1057.7613759040833
1,1.0,isotropic,0.682232090923502,1.000568604392849,0.375,3.0,0.015091242291359828,0.0,3.0,3.0,0.2200817902953162,0.02002337954832517,0.01707629508009256,0.7428185350762662,0.13225233741998674,0.8815707762718201,0.58736,0.005411691048092089,0.6255797448635796,0.6072000000000001,0.00757258212236751,0.6401418392471452,1415.5706872940063
2,0.001,isotropic,0.7470268311423178,0.9395720637117276,0.625,5.0,0.025152070485599715,0.0,5.0,5.0,0.1788385208066419,0.0027839664454480306,0.012268610221259591,0.8061089025266504,13.116662731933594,0.17681076774299145,0.7174399999999999,0.003094252736930195,0.7770003151413909,0.7169599999999999,0.005643261468335472,0.7847932749339612,1463.1541607379913
2,0.001,graph_mrf,0.7468215026085467,0.9389488247393847,0.625,5.0,0.025152070485599715,0.0,5.0,5.0,0.17883944457808706,0.003573719120125921,0.012193879274526117,0.805392957027261,16.846996926116944,0.17514571598768233,0.71792,0.0038731898998112654,0.7762900940556137,0.7166399999999999,0.00529210733073316,0.7854440547167443,1505.7342112064362
1,0.001,graph_mrf,0.7408239699492924,0.9712891934863399,0.3185,2.548,0.013030318803654944,0.0,2.0,3.0,0.18544431026715694,0.002293414145802247,0.011952833284731398,0.8003094423023095,10.828396865844727,0.2462003789126873,0.6881599999999999,0.003094252736930178,0.7524572061050318,0.69648,0.01206489121376565,0.756993192433532,1532.7083852291107
3,0.1,isotropic,0.7364879332056136,0.9558905814708282,0.75,6.0,0.030182484582719656,1.0,6.0,6.0,0.18697103447614347,0.04558772750111522,0.011102566480440322,0.7563386715423009,2.3353151371955874,0.5575811653614045,0.66256,0.003094252736930202,0.6981837094960044,0.69104,0.006016510616628207,0.7615845206648203,1582.3023958206177
2,1.0,isotropic,0.682232090923502,1.0004976558519039,0.625,5.0,0.025152070485599715,0.0,5.0,5.0,0.2169262033203252,0.0170811775700341,0.01727755710517375,0.748715062004467,0.1121702365577221,0.8916867068767548,0.58464,0.009280000000000005,0.6130622263330097,0.6092799999999999,0.0059351158371172465,0.6477831212320747,1632.5038039684296
2,0.01,isotropic,0.7538470136358554,0.9389716695090208,0.6183,4.9464,0.024967821468135972,0.0,4.0,5.0,0.1785844645397226,0.013322666670273762,0.01270418667051117,0.7953886821194925,6.294274948501587,0.3360998436689377,0.69776,0.006347787015960764,0.7611612575934983,0.6897599999999999,0.01355191499383019,0.7525755762859947,1650.7711462974548
1,0.001,isotropic,0.7404512860813298,0.9764501839178762,0.3118,2.4944,0.012811232835308497,0.0,2.0,3.0,0.18440973054277718,0.0018897143824108428,0.013351222330661244,0.8003493327441507,8.932812474060059,0.2431629330456257,0.69664,0.004863578929142606,0.7535865908619245,0.6958399999999999,0.014849861952220298,0.7512161126925117,1655.5558140277863
